Density profile based on an MSIS profile.
This profile is just meant as an example for the conceptual model.
It has no further scientific meaning.
The molekular density is given in 1/cm^3 and the altitude in km.

idx;altitude;density
666;133.2;102995800000.0
667;133.4;101408900000.0
668;133.6;99856200000.0
669;133.8;98336500000.0
670;134.0;96861000000.0
671;134.2;95409600000.0
672;134.4;93981300000.0
673;134.6;92576200000.0
674;134.8;91205100000.0
675;135.0;89867100000.0
676;135.2;88551200000.0
677;135.4;87259500000.0
678;135.6;85999800000.0
679;135.8;84773200000.0
680;136.0;83549700000.0
681;136.2;82348300000.0
682;136.4;81190000000.0
683;136.6;80044700000.0
684;136.8;78920500000.0
685;137.0;77809400000.0
686;137.2;76731400000.0
687;137.4;75664400000.0
688;137.6;74630600000.0
689;137.8;73597700000.0
690;138.0;72588000000.0
691;138.2;71610300000.0
692;138.4;70633700000.0
693;138.6;69689100000.0
694;138.8;68747600000.0
695;139.0;67836200000.0
696;139.2;66927800000.0
697;139.4;66040400000.0
698;139.6;65165100000.0
699;139.8;64320900000.0
700;140.0;63468700000.0
701;140.2;62648600000.0
702;140.4;61829500000.0
703;140.6;61031400000.0
704;140.8;60244400000.0
705;141.0;59479500000.0
706;141.2;58716600000.0
707;141.4;57973700000.0
708;141.6;57232870000.0
709;141.8;56523080000.0
710;142.0;55804320000.0
711;142.2;55106600000.0
712;142.4;54420920000.0
713;142.6;53745280000.0
714;142.8;53071660000.0
715;143.0;52418090000.0
716;143.2;51776540000.0
717;143.4;51148030000.0
718;143.6;50524550000.0
719;143.8;49901100000.0
720;144.0;49301670000.0
721;144.2;48703280000.0
722;144.4;48116920000.0
723;144.6;47541580000.0
724;144.8;46979270000.0
725;145.0;46417990000.0
726;145.2;45868730000.0
727;145.4;45321500000.0
728;145.6;44785290000.0
729;145.8;44260110000.0
730;146.0;43747950000.0
731;146.2;43236810000.0
732;146.4;42727700000.0
733;146.6;42228600000.0
734;146.8;41741530000.0
735;147.0;41266480000.0
736;147.2;40792450000.0
737;147.4;40320440000.0
738;147.6;39859450000.0
739;147.8;39409480000.0
740;148.0;38961520000.0
741;148.2;38514590000.0
742;148.4;38088670000.0
743;148.6;37653770000.0
744;148.8;37230890000.0
745;149.0;36818020000.0
746;149.2;36407170000.0
747;149.4;35998340000.0
748;149.6;35599520000.0
749;149.8;35211720000.0
750;150.0;34814930000.0
751;150.2;34440150000.0
752;150.4;34055390000.0
753;150.6;33682650000.0
754;150.8;33319920000.0
755;151.0;32958200000.0
756;151.2;32598490000.0
757;151.4;32239800000.0
758;151.6;31891120000.0
759;151.8;31553450000.0
760;152.0;31206800000.0
761;152.2;30881160000.0
762;152.4;30547520000.0
763;152.6;30223900000.0
764;152.8;29900290000.0
765;153.0;29578690000.0
766;153.2;29267110000.0
767;153.4;28956530000.0
768;153.6;28657960000.0
769;153.8;28359400000.0
770;154.0;28060860000.0
771;154.2;27764320000.0
772;154.4;27477790000.0
773;154.6;27192270000.0
774;154.8;26906760000.0
775;155.0;26623260000.0
776;155.2;26349770000.0
777;155.4;26076280000.0
778;155.6;25814810000.0
779;155.8;25543340000.0
780;156.0;25282880000.0
781;156.2;25022430000.0
782;156.4;24773980000.0
783;156.6;24514550000.0
784;156.8;24266120000.0
785;157.0;24019700000.0
786;157.2;23782280000.0
787;157.4;23535880000.0
788;157.6;23300480000.0
789;157.8;23065080000.0
790;158.0;22830700000.0
791;158.2;22607320000.0
792;158.4;22382940000.0
793;158.6;22160570000.0
794;158.8;21938210000.0
795;159.0;21716860000.0
796;159.2;21505510000.0
797;159.4;21295160000.0
798;159.6;21084820000.0
799;159.8;20875490000.0
800;160.0;20666160000.0
801;160.2;20467840000.0
802;160.4;20259530000.0
803;160.6;20061210000.0
804;160.8;19864910000.0
805;161.0;19677510000.0
806;161.2;19481510000.0
807;161.4;19295620000.0
808;161.6;19109830000.0
809;161.8;18925350000.0
810;162.0;18740870000.0
811;162.2;18556600000.0
812;162.4;18383530000.0
813;162.6;18200570000.0
814;162.8;18027710000.0
815;163.0;17855050000.0
816;163.2;17682500000.0
817;163.4;17521150000.0
818;163.6;17349910000.0
819;163.8;17189770000.0
820;164.0;17018730000.0
821;164.2;16858900000.0
822;164.4;16699170000.0
823;164.6;16540550000.0
824;164.8;16391020000.0
825;165.0;16232710000.0
826;165.2;16084390000.0
827;165.4;15927280000.0
828;165.6;15779270000.0
829;165.8;15632370000.0
830;166.0;15485570000.0
831;166.2;15338970000.0
832;166.4;15202380000.0
833;166.6;15056880000.0
834;166.8;14918590000.0
835;167.0;14780310000.0
836;167.2;14643230000.0
837;167.4;14508140000.0
838;167.6;14374170000.0
839;167.8;14241390000.0
840;168.0;14110620000.0
841;168.2;13980950000.0
842;168.4;13852380000.0
843;168.6;13725920000.0
844;168.8;13600560000.0
845;169.0;13476300000.0
846;169.2;13353040000.0
847;169.4;13231990000.0
848;169.6;13111940000.0
849;169.8;12992090000.0
850;170.0;12874140000.0
851;170.2;12758395000.0
852;170.4;12642752000.0
853;170.6;12529111000.0
854;170.8;12414573000.0
855;171.0;12303136000.0
856;171.2;12192802000.0
857;171.4;12083469000.0
858;171.6;11975339000.0
859;171.8;11868111000.0
860;172.0;11761084000.0
861;172.2;11656060000.0
862;172.4;11552137000.0
863;172.6;11450316000.0
864;172.8;11347497000.0
865;173.0;11246780000.0
866;173.2;11147165000.0
867;173.4;11047551000.0
868;173.6;10950039000.0
869;173.8;10853628000.0
870;174.0;10758220000.0
871;174.2;10662913000.0
872;174.4;10569607000.0
873;174.6;10475403000.0
874;174.8;10383301000.0
875;175.0;10292200000.0
876;175.2;10203201000.0
877;175.4;10113203000.0
878;175.6;10024306000.0
879;175.8;9937411000.0
880;176.0;9850618000.0
881;176.2;9764926000.0
882;176.4;9680235000.0
883;176.6;9595645000.0
884;176.8;9512057000.0
885;177.0;9429470000.0
886;177.2;9347985000.0
887;177.4;9267600000.0
888;177.6;9187217000.0
889;177.8;9107935000.0
890;178.0;9028654000.0
891;178.2;8952375000.0
892;178.4;8875197000.0
893;178.6;8798119000.0
894;178.8;8723043000.0
895;179.0;8647968000.0
896;179.2;8573994000.0
897;179.4;8501022000.0
898;179.6;8428150000.0
899;179.8;8356279000.0
900;180.0;8284509000.0
901;180.2;8214741000.0
902;180.4;8143973000.0
903;180.6;8075306000.0
904;180.8;8006641000.0
905;181.0;7939076000.0
906;181.2;7871512000.0
907;181.4;7804949000.0
908;181.6;7739487000.0
909;181.8;7673026000.0
910;182.0;7609666000.0
911;182.2;7545306000.0
912;182.4;7481948000.0
913;182.6;7418690000.0
914;182.8;7356433000.0
915;183.0;7295177000.0
916;183.2;7234022000.0
917;183.4;7172868000.0
918;183.6;7112714000.0
919;183.8;7053661000.0
920;184.0;6994609000.0
921;184.2;6936558000.0
922;184.4;6878607000.0
923;184.6;6821657000.0
924;184.8;6764708000.0
925;185.0;6707859000.0
926;185.2;6653011000.0
927;185.4;6597164000.0
928;185.6;6543418000.0
929;185.8;6488672000.0
930;186.0;6435927000.0
931;186.2;6382182000.0
932;186.4;6329539000.0
933;186.6;6277895000.0
934;186.8;6225353000.0
935;187.0;6174711000.0
936;187.2;6124169000.0
937;187.4;6074628000.0
938;187.6;6023188000.0
939;187.8;5973648000.0
940;188.0;5926209000.0
941;188.2;5877870000.0
942;188.4;5829432000.0
943;188.6;5781095000.0
944;188.8;5734758000.0
945;189.0;5687421000.0
946;189.2;5642185000.0
947;189.4;5595850000.0
948;189.6;5550615000.0
949;189.8;5505481000.0
950;190.0;5461247000.0
951;190.2;5417113000.0
952;190.4;5372980000.0
953;190.6;5329848000.0
954;190.8;5286715000.0
955;191.0;5243684000.0
956;191.2;5200553000.0
957;191.4;5159522000.0
958;191.6;5117591000.0
959;191.8;5076562000.0
960;192.0;5035632000.0
961;192.2;4995703000.0
962;192.4;4955774000.0
963;192.6;4915846000.0
964;192.8;4875918000.0
965;193.0;4837091000.0
966;193.2;4798263000.0
967;193.4;4760437000.0
968;193.6;4722610000.0
969;193.8;4684884000.0
970;194.0;4647059000.0
971;194.2;4610333000.0
972;194.4;4574608000.0
973;194.6;4537884000.0
974;194.8;4502260000.0
975;195.0;4465536000.0
976;195.2;4430912000.0
977;195.4;4396289000.0
978;195.6;4360666000.0
979;195.8;4326043000.0
980;196.0;4292521000.0
981;196.2;4257899000.0
982;196.4;4224377000.0
983;196.6;4191856000.0
984;196.8;4158335000.0
985;197.0;4125814000.0
986;197.2;4093294000.0
987;197.4;4060873000.0
988;197.6;4029453000.0
989;197.8;3997934000.0
990;198.0;3966514000.0
991;198.2;3936195000.0
992;198.4;3904776000.0
993;198.6;3874358000.0
994;198.8;3844039000.0
995;199.0;3814621000.0
996;199.2;3784303000.0
997;199.4;3754986000.0
998;199.6;3725668000.0
